feature1	feature2	pair_ig_mean	pair_ig_std	pair_ig_count	f1_ig_mean	f2_ig_mean	mean_individual_ig	ig_difference_raw	ig_difference_pct	synergy
1CMET2-PWY:_N10-formyl-tetrahydrofolate_biosynthesis	PWY-6147:_6-hydroxymethyl-dihydropterin_diphosphate_biosynthesis_I	16.709304809570348	0.6116620395731224	2	5.638259887695315	6.345703125	5.991981506347658	10.71732330322269	64.13985156991261	True
1CMET2-PWY:_N10-formyl-tetrahydrofolate_biosynthesis	PWY-7539:_6-hydroxymethyl-dihydropterin_diphosphate_biosynthesis_III_(Chlamydia)	13.6063842773438		1	4.96453857421875	6.345703125	5.655120849609375	7.951263427734425	58.4377397085146	True
ANAGLYCOLYSIS-PWY:_glycolysis_III_(from_glucose)	THISYNARA-PWY:_superpathway_of_thiamin_diphosphate_biosynthesis_III_(eukaryotes)	18.9995727539062		1	8.0015869140625	3.5526123046875	5.777099609375	13.2224731445312	69.5935288429722	True
ARO-PWY:_chorismate_biosynthesis_I	PYRIDNUCSYN-PWY:_NAD_biosynthesis_I_(from_aspartate)	14.77688598632815	0.9110300930216924	2	5.224716186523435	3.0255279541015625	4.125122070312498	10.651763916015652	72.08395548203364	True
ASPASN-PWY:_superpathway_of_L-aspartate_and_L-asparagine_biosynthesis	PWY-7357:_thiamin_formation_from_pyrithiamine_and_oxythiamine_(yeast)	15.0994720458984	0.2989364697197469	2	2.010543823242185	1.2839965820312524	1.6472702026367188	13.452201843261681	89.09054437380689	True
Abiotrophia_defectiva	Prevotella_sp_885	5.8797607421875	0.0	3	4.71881103515625	0.7843017578125	2.751556396484375	3.128204345703125	53.202919010941095	True
Absiella_dolichum	Firmicutes_bacterium_CAG_424	7.3504638671875		1	0.07757568359375	1.58645629882812	0.832015991210935	6.518447875976565	88.68076891140085	True
Acidaminococcus_fermentans	PWY-7357:_thiamin_formation_from_pyrithiamine_and_oxythiamine_(yeast)	4.55010986328125	0.0	2	0.1961669921875	1.2839965820312524	0.7400817871093762	3.8100280761718737	83.73485895183032	True
Acidaminococcus_intestini	Clostridium_lavalense	7.73895263671875	0.0	2	0.51165771484375	0.15576171875	0.333709716796875	7.405242919921875	95.68792144800663	True
Acidaminococcus_intestini	HSERMETANA-PWY:_L-methionine_biosynthesis_III	7.09762573242188		1	0.51165771484375	13.1157836914062	6.813720703124975	0.2839050292969052	4.000000000000423	True
